Complexity,Loss,Equation
1,0.6025167,"0.20505828"
3,0.58946055,"0.231875 * x2"
4,0.5465827,"cos(x10) * 0.4016181"
5,0.47707984,"x4 * (x3 * 0.33893085)"
6,0.43018407,"sin((x3 * x6) * -0.5951732)"
7,0.42898822,"sin((x3 * x6) * sin(-0.5951732))"
8,0.39405882,"sin(((-0.521099 * x3) + -0.2681377) * x6)"
9,0.38494986,"((x6 * -0.5201827) * (x3 + 0.36094853)) + -0.12437803"
10,0.38252482,"sin((x3 + 0.6210784) * ((x6 * -0.49216452) + -0.12585644))"
12,0.37047485,"(x8 * 0.28204498) + (x6 * cos(inv(inv(exp(cos(x3))))))"
13,0.36338475,"sin((sin(x5) * -0.35741845) + (((x3 * -0.521099) + -0.2681377) * x6))"
14,0.36329743,"sin((sin(x5) * -0.3587501) + (x6 * sin((x3 * -0.58505905) + -0.33225328)))"
15,0.36211628,"sin((sin(x5) * -0.3701611) + (x6 * sin(sin((x3 * -0.6580493) + -0.4167737))))"
16,0.36168212,"sin((sin(x5) * -0.3701611) + (sin(sin(sin((x3 * -0.6580493) + -0.4167737))) * x6))"
18,0.35391083,"sin(((x6 * sin(sin(sin((x3 * -1.3425874) + -1.1118585)))) + (sin(x5) * -0.4815918)) + 0.03613194)"
19,0.353415,"sin(sin((x6 * sin(sin(sin((x3 * -1.3253024) + -1.2034473)))) + (sin(x5) * -0.51214534)) + 0.08391973)"
22,0.3513232,"sin(sin((0.54739195 + (((0.61089194 + x6) * sin((sin(-0.9477545) * x3) + -0.53869176)) + (exp(x9) * -0.22313292))) + 0.039251413))"
23,0.35036993,"sin(sin(((x1 * -0.034276057) + ((x6 + 0.70455027) * sin((x3 * sin((-0.7548091 + x0) + -0.56136614)) + -0.62462467))) + 0.28143686))"
24,0.34097967,"sin(sin(sin(sin((exp(x9) * -0.1874313) + 0.49124226))) + ((x6 + 0.58408934) * sin((sin(x0 + -1.6422485) * x3) + -0.6429054)))"
28,0.3326193,"sin(sin(((x6 + 0.70455027) * sin((x3 * sin(((cos(x7 + (x9 + 0.32076082)) + 0.7001922) * -0.56136614) + (x0 + -0.7548091))) + -0.62462467)) + 0.28143686))"
31,0.32565808,"sin((sin((x3 * sin((x0 + ((cos(x1) + cos(x7 + x9)) * -0.85168934)) + -0.9477545)) + -0.53869176) * (x6 + 0.61089194)) + ((exp(x9) * -0.22313292) + 0.58663327))"
33,0.3213479,"sin(sin(sin((exp(x9) * -0.22048941) + 0.6143139)) + ((x6 + 0.6054725) * sin((sin(x0 + (((cos(x1) + cos(x7 + x9)) * -0.8880277) + -0.958)) * x3) + -0.604485)))"
34,0.31718224,"sin(sin((exp(x9) * -0.16040356) + (0.5675584 + ((x6 + 0.6269722) * sin((x3 * sin((x0 + ((cos(x7 + (0.2637192 + x9)) + cos(x1)) * -0.44832355)) + -1.1543967)) + -0.7714623)))))"
35,0.3169589,"sin(sin(((0.6269722 + x6) * sin((x3 * sin((x0 + ((cos(x7 + (0.2637192 + x9)) + cos(x1)) * -0.44832355)) + -1.1543967)) + -0.7714623)) + sin((exp(x9) * -0.16040356) + 0.5675584)))"
36,0.31689352,"sin((-0.22313292 * exp(x9)) + (((x6 + 0.61089194) * sin((x3 * sin(x0 + (((cos(x1) + cos(x7 + ((cos(x10) * -0.9477545) + x9))) * -0.85168934) + -0.9477545))) + -0.53869176)) + 0.58663327))"
39,0.3112829,"sin(((x6 + 0.60006267) * sin((sin((x0 + ((cos(x1) + cos(((cos(x10) * -0.64264214) + x9) + x7)) * -0.8482494)) + -0.9734485) * x3) + -0.6467106)) + sin(sin((exp(x9) * -0.21251933) + sin(0.61785156))))"
41,0.2994385,"sin((((x6 + 0.61089194) * sin((x3 * sin((x0 + ((cos(x1) + cos(x7 + (((cos(x9 + 1.2410231) + cos(x10)) * -0.9477545) + x9))) * -0.85168934)) + -0.9477545)) + -0.53869176)) + (exp(x9) * -0.22313292)) + 0.58663327)"
43,0.29156676,"sin((exp(x9) * -0.21653493) + (((x6 + 0.6474945) * sin((x3 * sin((x0 + ((cos(x1) + cos(x7 + (((cos(x0 + (x9 + 1.2982693)) + cos(x10)) * -0.9635959) + x9))) * -0.88184136)) + -1.022206)) + -0.5317345)) + 0.58032554))"
47,0.28932026,"sin(sin(((exp(x9) * -0.19314842) + ((x6 + 0.723541) * sin((x3 * sin(sin(sin((cos(x7 + (((cos((cos(x0) + x0) + 1.348346) + cos(x10)) * -1.2605315) + x9)) + cos(x1)) * -1.2171079) + (x0 + -1.1561275)))) + -0.5750693))) + 0.61524796))"
