Complexity,Loss,Equation
1,0.44329613,"0.016053196"
3,0.39840025,"x2 * -0.21251446"
4,0.3922434,"sin(x1) * -0.33923885"
5,0.36945352,"(x1 + x7) * -0.19087031"
6,0.36561227,"(sin(x1) + x7) * -0.23036923"
7,0.35430142,"((x7 + x2) + x1) * -0.14238906"
8,0.3479051,"(sin(x1) + (x2 + x7)) * -0.17364477"
9,0.33166265,"((x7 + x1) + (x6 * x0)) * -0.20086843"
10,0.32938832,"(((x6 * x0) + sin(x1)) + x7) * -0.22511823"
11,0.3236894,"((x3 * (x10 * x6)) + (x7 + x2)) * -0.22044887"
12,0.3232919,"sin((((x10 * x3) * x6) + (x2 + x7)) * -0.23952802)"
13,0.31347054,"((x7 + x2) + (x1 + ((x3 * x10) * x6))) * -0.17463338"
14,0.31059414,"sin(((x10 * ((x3 + 0.47775307) * x6)) + (x2 + x7)) * -0.2396258)"
15,0.3036772,"((x1 + x7) + (x4 + (x3 * (x6 * (x10 + x4))))) * -0.21106215"
16,0.29919562,"((x4 + ((x3 * (x6 * (x10 + x4))) + x7)) + sin(x1)) * -0.2355662"
17,0.29754603,"-0.2355662 * (((x7 + (((x10 + x4) * x6) * x3)) + sin(x4)) + sin(x1))"
18,0.29070875,"(x6 * 0.19769496) + (((x7 + ((x3 * (x10 + x4)) * x6)) + sin(x1)) * -0.2242426)"
20,0.2867813,"(x6 * 0.19769496) + ((((x7 + ((x3 * (x10 + x4)) * x6)) + -0.2794435) + sin(x1)) * -0.2242426)"
