Complexity,Loss,Equation
1,0.6025167,"0.20517981"
3,0.5894516,"x2 * 0.23484863"
4,0.5448977,"cos(x10) * 0.46158013"
5,0.4315464,"(x6 * x3) * -0.45678824"
6,0.42682424,"x6 * sin(x3 * -0.53042036)"
7,0.39430785,"((x3 + 0.4372169) * -0.4425923) * x6"
8,0.38483933,"((cos(x3) + x3) * -0.3367016) * x6"
9,0.38313335,"x6 * sin((cos(x3) + x3) * -0.365112)"
10,0.37040305,"(cos(x3 + x5) + x3) * (x6 * -0.36519524)"
11,0.36598903,"sin(((x6 * (x3 + cos(x3))) + x5) * -0.365112)"
12,0.36387542,"(cos((x3 + x5) * x3) + x3) * (x6 * -0.34345698)"
13,0.36010975,"sin((x6 + 0.30974072) * sin((x5 * 0.501465) + (x3 + 4.1066055)))"
14,0.35179186,"sin(sin(sin(((x5 * 0.49991676) + x3) + 4.079696)) * (x6 + 0.27814654))"
15,0.34900838,"sin(sin(sin(sin((x5 * 0.49976254) + (x3 + 4.0797453)))) * (x6 + 0.27810228))"
16,0.34481654,"((x6 + 0.51676685) * (sin((x5 * 0.50547254) + (x3 + 1.0738903)) * -0.60038114)) + 0.18807568"
17,0.3427781,"sin(((sin((x5 * 0.5019349) + (x3 + 1.112284)) * (x6 + 0.5617792)) * -0.7127978) + 0.23078692)"
18,0.3377746,"sin((((x10 + (x6 * (x9 + x3))) * -0.3531791) + x6) * ((x3 + 0.62284946) * -0.53750783))"
20,0.32725146,"sin((((-0.35487285 * (x10 + (x6 * (x9 + (x9 + x3))))) + x6) * -0.4911491) * (0.6293505 + x3))"
