Complexity,Loss,Equation
1,0.6025167,"0.20513773"
3,0.58945155,"x2 * 0.23491113"
4,0.5448977,"cos(x10) * 0.46161976"
5,0.4315464,"x6 * (x3 * -0.45676515)"
6,0.42682424,"x6 * sin(x3 * -0.53042334)"
7,0.39430788,"x6 * ((x3 + 0.43686432) * -0.44279566)"
8,0.39301088,"sin((x3 + 0.47569352) * (x6 * -0.49034363))"
9,0.36852086,"((x6 * x3) + (x9 * x0)) * -0.45146176"
10,0.35893604,"sin(x6 * (((x9 * x0) + x3) * -0.583684))"
11,0.35144192,"((x3 * x6) + ((x9 * x0) + -0.30364808)) * -0.43496087"
12,0.3481539,"sin((((x0 * x9) + -0.32326534) + (x3 * x6)) * -0.5036357)"
17,0.33030233,"sin((((sin(x3) + (x10 * -0.5507907)) * (x9 * -0.825206)) + x3) * (x6 * -0.5971963))"
19,0.32887024,"sin((((x9 * -0.8677865) * (sin(x3) + (x10 * -0.5406961))) + x3) * (x6 * -0.5693709)) * 1.0819482"
