Complexity,Loss,Equation
1,0.6025167,"0.20513773"
3,0.58945155,"x2 * 0.23491096"
4,0.5448976,"cos(x10) * 0.46151766"
5,0.4315464,"(x6 * x3) * -0.45671207"
6,0.42682424,"sin(x3 * -0.5304172) * x6"
7,0.39430785,"(x6 * (x3 + 0.4366559)) * -0.44273505"
8,0.38483933,"((x3 + cos(x3)) * -0.33674917) * x6"
9,0.38335836,"x6 * sin((cos(x3) + x3) * -0.38218233)"
10,0.35968518,"(sin(x5) + ((x6 + -0.4880435) + x3)) * -0.58557266"
12,0.3521044,"(((x6 + 0.58697146) * x3) + (sin(x5) + x6)) * -0.4299903"
13,0.3436976,"sin((((x6 + 0.5934486) * x3) + (sin(x5) + x6)) * -0.43033108)"
14,0.34021702,"sin((((x6 + cos(x0)) * x3) + (sin(x5) + x6)) * -0.44448203)"
15,0.33890158,"sin(((x6 + ((sin(cos(x0)) + x6) * x3)) + sin(x5)) * -0.43051633)"
16,0.33361512,"sin((sin(x9 + -0.65785676) + ((x3 + 0.6788165) * (exp(x6) + -0.7905898))) * -0.45707196)"
17,0.33244088,"(sin(((x6 + -0.8343171) * sin(x8)) + x5) + (x3 + (x6 + -0.574418))) * -0.53001326"
18,0.32561144,"((((x3 + 0.8606512) * (x6 + 0.44600934)) + sin(x5 + (x10 * -0.4031195))) + -0.44631317) * -0.3837093"
19,0.3129768,"sin((sin(x9 + -1.3758386) + (((sin(x6) + 0.68387455) * (x3 + 0.75291854)) + sin(x5))) * -0.5689567)"
21,0.3048134,"sin((sin(x9 + -0.76836646) + ((sin(x5) + -0.94550997) + ((x3 + 1.1666551) * exp(x6 + -0.47193626)))) * -0.5226371)"
24,0.29269037,"(sin(sin(x9 + -0.7766439)) + ((((x6 + 0.64325655) * (x3 + 0.82125)) + sin(x5 + (x10 * -0.52054256))) + -0.23991129)) * -0.37840423"
25,0.2922154,"sin((sin(((x7 * x6) + -0.83054626) + x9) + (((exp(x6) + -0.7011752) * (x3 + 0.8009124)) + sin(x5 + -0.2888771))) * -0.44247922)"
27,0.29121003,"(((sin((((x9 + -0.5225605) + x6) * x10) + -0.3875724) * 1.1371808) + -0.63051915) + (sin(x5) + ((x3 + 0.9556879) * (x6 + 0.6638701)))) * -0.3833213"
