Complexity,Loss,Equation
1,0.5702917,"-0.07037871"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.4106561"
5,0.38559124,"(x4 + x0) * 0.33853835"
6,0.3223743,"cos(x10 + -0.4905398) + -0.5912301"
7,0.31995043,"sin(cos(x10 + -0.587745)) + -0.5032924"
8,0.30485412,"0.3882117 * (x10 + cos(x10 + x0))"
10,0.28503048,"(sin(x0) * ((x10 + -0.8567564) * -0.6215594)) + 0.27348018"
11,0.2738569,"sin((sin(x10 * x0) * (x10 + -1.3076762)) + 0.3789339)"
12,0.26374945,"sin(((x10 + -1.4166915) * sin(sin(x10 * x0))) + 0.3854296)"
13,0.26197252,"sin((sin(sin(sin(x10 * x0))) * (-1.4166915 + x10)) + 0.3854296)"
14,0.24978966,"sin(cos(sin(x0 + 0.8316383) + ((x10 + x6) + x10)) + x10)"
16,0.23911528,"sin(cos(((x10 + (x10 + x6)) + -0.2386593) + sin(x0 + 1.0166564)) + x10)"
17,0.23650613,"sin(cos(((x10 + x10) + x6) + (sin(cos(x0 + -0.5959398)) + -0.1581517)) + x10)"
19,0.22257024,"sin(sin(sin(x0) + x10) + cos((0.74520224 + x10) + (x10 + sin(x0 + sin(x6)))))"
20,0.21485798,"sin(sin(sin(x10) + sin(x0)) + cos((x10 + sin(x10 + 0.74520224)) + sin(x0 + x6)))"
21,0.210227,"sin(sin(sin(x0) + sin(x10)) + cos((x10 + sin(x0 + sin(x6))) + sin(x10 + 0.8436947)))"
22,0.20750843,"sin(sin(sin(x10) + sin(x0)) + sin(cos((x10 + sin(x10 + 0.84619385)) + sin(x0 + sin(x6)))))"
23,0.20631604,"sin(sin(cos(sin(x10 + 0.81075966) + (sin(sin(x6) + x0) + x10))) + sin(sin(sin(x0)) + sin(x10)))"
24,0.20539802,"sin(sin(sin(sin(x10)) + sin(sin(x0))) + sin(cos(sin(sin(x6) + x0) + (sin(x10 + 0.81075966) + x10))))"
25,0.20483376,"sin(sin(sin(sin(sin(x0))) + sin(sin(x10))) + sin(cos((sin(x0 + sin(x6)) + x10) + sin(x10 + 0.8136037))))"
26,0.19662425,"sin(sin(sin(x10) + sin(x0)) + cos(sin(x10 + sin(exp(x5) + 1.4924858)) + ((x10 + (0.7146278 * x0)) + sin(x6))))"
27,0.19363247,"sin(sin(sin(x10) + sin(sin(x0))) + cos((sin(x10 + sin(exp(x5) + 1.4924858)) + x10) + ((x0 * 0.7146278) + sin(x6))))"
28,0.1919716,"sin(sin(sin(x10) + sin(sin(sin(x0)))) + cos((sin(x10 + sin(exp(x5) + 1.4642184)) + x10) + ((x0 * 0.73187023) + sin(x6))))"
29,0.19111483,"sin(sin(sin(x10) + sin(sin(sin(sin(x0))))) + cos(sin(x10 + sin(1.4924858 + exp(x5))) + ((x10 + (0.7146278 * x0)) + sin(x6))))"
30,0.19050527,"sin(sin(sin(x10) + sin(sin(sin(sin(sin(x0)))))) + cos(sin(x10 + sin(exp(x5) + 1.4924858)) + ((x10 + (0.7146278 * x0)) + sin(x6))))"
