Minimal-Swimmer-Expert-v5,3,9,0.00299636868734164
Minimal-Swimmer-Expert-v5,3,10,0.002729589986240746
Minimal-Swimmer-Expert-v5,3,11,0.001611894188772498
Minimal-Swimmer-Expert-v5,3,12,0.0007011365502553605
Minimal-Swimmer-Expert-v5,3,13,0.00043332880221287265
Minimal-Swimmer-Expert-v5,3,14,0.00047561294734201027
Minimal-Swimmer-Expert-v5,3,15,0.0004937252671639121
Minimal-Swimmer-Expert-v5,3,16,0.0004140661535773467
Minimal-Swimmer-Expert-v5,3,17,0.0003269772249679283
Minimal-Swimmer-Expert-v5,3,18,0.00026826392172696995
Minimal-Swimmer-Expert-v5,3,19,0.0002408152353813666
Minimal-Swimmer-Expert-v5,3,20,0.00021725812923480253
Minimal-Swimmer-Expert-v5,3,21,0.00019844916799666043
Minimal-Swimmer-Expert-v5,3,22,0.00018031206032005312
Minimal-Swimmer-Expert-v5,3,23,0.00016896655727189933
Minimal-Swimmer-Expert-v5,3,24,0.00015730690994154972
Minimal-Swimmer-Expert-v5,4,0,0.6455588144055701
Minimal-Swimmer-Expert-v5,4,1,0.47991572471428157
Minimal-Swimmer-Expert-v5,4,2,0.38074401952588566
Minimal-Swimmer-Expert-v5,4,3,0.3040123043707418
Minimal-Swimmer-Expert-v5,4,4,0.23049820569700044
Minimal-Swimmer-Expert-v5,4,5,0.16379411930422919
Minimal-Swimmer-Expert-v5,4,6,0.11205126251298357
Minimal-Swimmer-Expert-v5,4,7,0.07086582085347383
Minimal-Swimmer-Expert-v5,4,8,0.039169658169651636
Minimal-Swimmer-Expert-v5,4,9,0.01774486680116268
Minimal-Swimmer-Expert-v5,4,10,0.006407477017011883
Minimal-Swimmer-Expert-v5,4,11,0.0021233999983639815
Minimal-Swimmer-Expert-v5,4,12,0.001669804011341383
Minimal-Swimmer-Expert-v5,4,13,0.002405917219652136
Minimal-Swimmer-Expert-v5,4,14,0.0024160928586294266
Minimal-Swimmer-Expert-v5,4,15,0.0018920947575331577
Minimal-Swimmer-Expert-v5,4,16,0.0012739193221461748
Minimal-Swimmer-Expert-v5,4,17,0.0009255913072250662
Minimal-Swimmer-Expert-v5,4,18,0.0007484819738596924
Minimal-Swimmer-Expert-v5,4,19,0.0006758976353412632
Minimal-Swimmer-Expert-v5,4,20,0.0006087718196894897
Minimal-Swimmer-Expert-v5,4,21,0.0005444871798244126
Minimal-Swimmer-Expert-v5,4,22,0.0004791192208748602
Minimal-Swimmer-Expert-v5,4,23,0.000424505589841623
Minimal-Swimmer-Expert-v5,4,24,0.00038021924471495967
Minimal-Swimmer-Expert-v5,4,25,0.000342435190047818
Minimal-Swimmer-Expert-v5,4,26,0.00031205065549551683
Minimal-Swimmer-Expert-v5,4,27,0.00028752105193955476
Minimal-Swimmer-Expert-v5,4,28,0.00026281475019834
Minimal-Swimmer-Expert-v5,4,29,0.00024779281973354405
Minimal-Swimmer-Expert-v5,5,0,0.4407599006335712
Minimal-Swimmer-Expert-v5,5,1,0.3191769948532352
Minimal-Swimmer-Expert-v5,5,2,0.22219365472885735
Minimal-Swimmer-Expert-v5,5,3,0.14397174086914985
Minimal-Swimmer-Expert-v5,5,4,0.08354527982757323
Minimal-Swimmer-Expert-v5,5,5,0.04008132297249046
Minimal-Swimmer-Expert-v5,5,6,0.014001305501005033
Minimal-Swimmer-Expert-v5,5,7,0.003240672986274501
Minimal-Swimmer-Expert-v5,5,8,0.0020728048779729107
Minimal-Swimmer-Expert-v5,5,9,0.0037454751784236884
Minimal-Swimmer-Expert-v5,5,10,0.003832459513630119
Minimal-Swimmer-Expert-v5,5,11,0.002344029353305599
Minimal-Swimmer-Expert-v5,5,12,0.0011623697144708906
Minimal-Swimmer-Expert-v5,5,13,0.0008446139789513268
Minimal-Swimmer-Expert-v5,5,14,0.0008986056129953577
Minimal-Swimmer-Expert-v5,5,15,0.0007751936503341732
Minimal-Swimmer-Expert-v5,5,16,0.0005950346306594096
Minimal-Swimmer-Expert-v5,5,17,0.0005028678619593312
Minimal-Swimmer-Expert-v5,5,18,0.000440228379512854
Minimal-Swimmer-Expert-v5,5,19,0.00039583968416592876
Minimal-Swimmer-Expert-v5,5,20,0.00035620570181524736
Minimal-Swimmer-Expert-v5,5,21,0.0003226447804026882
Minimal-Swimmer-Expert-v5,5,22,0.0002974288238986831
Minimal-Swimmer-Expert-v5,5,23,0.00027084237449781354
Minimal-Swimmer-Expert-v5,5,24,0.00025588032145869115
Minimal-Swimmer-Expert-v5,5,25,0.00022668903532489047
Minimal-Swimmer-Expert-v5,5,26,0.00020510745680186993
Minimal-Swimmer-Expert-v5,5,27,0.00019159737037391695
Minimal-Swimmer-Expert-v5,6,0,0.40138370786302285
Minimal-Swimmer-Expert-v5,6,1,0.30921507735806625
Minimal-Swimmer-Expert-v5,6,2,0.2311482780619799
Minimal-Swimmer-Expert-v5,6,3,0.16333777304227268
Minimal-Swimmer-Expert-v5,6,4,0.10782240173151764
Minimal-Swimmer-Expert-v5,6,5,0.06360865624896596
Minimal-Swimmer-Expert-v5,6,6,0.03212412586862052
Minimal-Swimmer-Expert-v5,6,7,0.012812691236584592
Minimal-Swimmer-Expert-v5,6,8,0.003979441810996858
