Complexity,Loss,Equation
1,0.44329613,"0.016049666"
3,0.39840025,"x2 * -0.21248369"
4,0.39224336,"sin(x1) * -0.33919275"
5,0.3694535,"(x7 + x1) * -0.19086799"
6,0.36561227,"(x7 + sin(x1)) * -0.23037156"
7,0.3541326,"((x1 + x2) + x7) * -0.14884867"
8,0.33265778,"((exp(x6) * x1) + x7) * -0.166533"
9,0.33166263,"(x1 + (x7 + (x6 * x0))) * -0.20086116"
10,0.32962492,"(x7 + ((exp(x6) * x1) * 0.71861964)) * -0.21448538"
11,0.32036668,"(((x2 + (x1 * x6)) * x6) + x7) * -0.19197471"
12,0.3108293,"(x7 + (x6 * (sin(x2) + (x6 * x1)))) * -0.23177963"
13,0.30974633,"((x6 * ((x6 * x1) + sin(inv(x2)))) + x7) * -0.22423655"
14,0.30741775,"(x2 + (((x6 * x10) * (x3 + cos(x4))) + x7)) * -0.1915466"
15,0.3021488,"sin((x7 + (x2 + ((x6 * (cos(x4) + x3)) * x10))) * -0.22958635)"
16,0.30143014,"sin(sin(((x2 + ((cos(x4) + x3) * (x6 * x10))) + x7) * -0.24624865))"
17,0.295026,"sin(((x7 + ((x3 + cos(x2 + 1.3862909)) * (x10 * x6))) + x2) * -0.24580397)"
18,0.29446918,"sin(((x7 + ((x3 + cos(exp(x2 + 0.33279186))) * (x10 * x6))) + x2) * -0.24515021)"
19,0.2941997,"sin(-0.24515021 * ((x10 * (x6 * (cos(exp(x0) + exp(x2)) + x3))) + (x2 + x7)))"
20,0.28904277,"sin(((x2 + x7) + ((cos((x4 * x3) + exp(x2)) + x3) * (x6 * x10))) * -0.25143048)"
