Complexity,Loss,Equation
1,0.6025167,"0.20508958"
3,0.5894516,"x2 * 0.23487297"
4,0.5448977,"cos(x10) * 0.4616011"
5,0.43154636,"(x6 * x3) * -0.45678782"
6,0.42682424,"sin(x3 * -0.53041935) * x6"
7,0.39430785,"(x6 * (x3 + 0.43669936)) * -0.44275087"
8,0.38483933,"x6 * ((cos(x3) + x3) * -0.3367403)"
9,0.38311523,"x6 * sin((cos(x3) + x3) * -0.3687555)"
10,0.35968518,"((sin(x5) + (x6 + -0.48822147)) + x3) * -0.5855506"
12,0.35618636,"((((x3 + sin(x5)) + -0.50444484) * 0.8987293) + x6) * -0.6226138"
14,0.32560918,"(((x3 + 0.4142326) * x6) + sin((x10 * -0.52909863) + x5)) * -0.47387457"
16,0.32388136,"(((x3 + 0.3904157) * x6) + sin(((x10 * -0.5267737) + x5) + 0.114732884)) * -0.494278"
17,0.3180269,"(sin((sin(x5 + -1.044822) * x10) + x5) + ((x3 + 0.36490598) * x6)) * -0.44561836"
18,0.31562263,"(sin((sin(sin(x5 + -1.0423161)) * x10) + x5) + ((x3 + 0.36267486) * x6)) * -0.48079717"
