Complexity,Loss,Equation
1,0.44329613,"0.016053138"
3,0.39840025,"x2 * -0.21250987"
4,0.39224336,"sin(x1) * -0.33912084"
5,0.36945352,"(x1 + x7) * -0.19087069"
6,0.36561227,"(sin(x1) + x7) * -0.23037015"
7,0.35633856,"(sin(x1) + sin(x7)) * -0.31401324"
8,0.34186926,"(x7 + (exp(x6) * x1)) * -0.2145285"
9,0.33338374,"((x1 * (x6 * x6)) + x7) * -0.24299607"
10,0.32962492,"(x7 + ((x1 * 0.7184838) * exp(x6))) * -0.2145093"
11,0.3264836,"(x7 + ((x1 * x6) * (x6 + 0.45977506))) * -0.24298657"
13,0.3174079,"-0.22637221 * (x7 + (x1 * (0.71177715 * (sin(x3) + exp(x6)))))"
15,0.31608206,"(x7 + ((x1 * 0.71177715) * (sin(-0.36059096 + x3) + exp(x6)))) * -0.22637221"
17,0.31463593,"(x7 + ((x1 * 0.71177715) * ((x1 * 0.09060147) + (sin(x3) + exp(x6))))) * -0.22637221"
19,0.31319854,"((x7 + ((x1 * 0.71177715) * (((x1 * 0.09060147) + sin(x3)) + exp(x6)))) * -0.22637221) + -0.03670468"
