Complexity,Loss,Equation
1,0.57029164,"-0.07038097"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.41063696"
5,0.3855912,"(x4 + x0) * 0.33853826"
6,0.3223743,"sin(x10 + 1.0802567) + -0.5912322"
7,0.3199504,"sin(cos(x10 + -0.5877844)) + -0.5032748"
8,0.3188569,"sin(sin(cos(x10 + -0.6840448))) + -0.43672636"
9,0.3118609,"sin(cos(x10) + ((x10 * 0.46510306) + -0.7266325))"
10,0.28334132,"sin(sin(x4 + -1.1766223) + cos(x10 + -0.9875623))"
11,0.2823857,"sin(cos(x10 + -0.7181074) + sin(sin(x4) + -1.2140188))"
12,0.2775645,"sin(sin((x4 * 0.8424557) + -1.166348) + sin(x10 + 0.7586765))"
13,0.26606005,"sin(cos((x0 + cos(x6)) + 1.3796178) * (-1.0293053 + sin(x10)))"
15,0.250024,"sin(cos((x10 + 1.2883488) + cos(x6 + 0.47776383)) * (sin(x10) + -1.1355709))"
17,0.24307857,"sin((cos(cos(x10 + -0.42933404) + cos(x3 + x6)) * (x3 + 1.9045122)) * -0.81338376)"
18,0.23936825,"sin(cos(cos(sin(x3) + x6) + cos(x10 + -0.404764)) * ((x3 + 1.9833533) * -0.79254407))"
19,0.23417336,"sin(sin(sin(cos((cos(x6 + 0.44565812) + 1.2045141) + x10) * (sin(x10) + -0.9973285)) * 2.0082755))"
