Minimal-Hopper-Expert-v5,0,1,1,0.36022428
Minimal-Hopper-Expert-v5,0,1,2,0.3852343
Minimal-Hopper-Expert-v5,0,1,3,0.2897166
Minimal-Hopper-Expert-v5,0,2,1,0.33313578
Minimal-Hopper-Expert-v5,0,2,2,0.35098293
Minimal-Hopper-Expert-v5,0,2,3,0.26208282
Minimal-Hopper-Expert-v5,0,3,1,0.32294044
Minimal-Hopper-Expert-v5,0,3,2,0.33232772
Minimal-Hopper-Expert-v5,0,3,3,0.24785903
Minimal-Hopper-Expert-v5,0,4,1,0.31339788
Minimal-Hopper-Expert-v5,0,4,2,0.31983125
Minimal-Hopper-Expert-v5,0,4,3,0.21594627
Minimal-Hopper-Expert-v5,0,5,1,0.31063056
Minimal-Hopper-Expert-v5,0,5,2,0.29749542
Minimal-Hopper-Expert-v5,0,5,3,0.21559416
Minimal-Hopper-Expert-v5,0,6,1,0.30166814
Minimal-Hopper-Expert-v5,0,6,2,0.29551733
Minimal-Hopper-Expert-v5,0,6,3,0.20983282
Minimal-Hopper-Expert-v5,0,7,1,0.29737902
Minimal-Hopper-Expert-v5,0,7,2,0.2947079
Minimal-Hopper-Expert-v5,0,7,3,0.20983282
Minimal-Hopper-Expert-v5,0,8,1,0.29737902
Minimal-Hopper-Expert-v5,0,8,2,0.2927979
Minimal-Hopper-Expert-v5,0,8,3,0.20983282
Minimal-Hopper-Expert-v5,0,9,1,0.29723418
Minimal-Hopper-Expert-v5,0,9,2,0.2927979
Minimal-Hopper-Expert-v5,0,9,3,0.20983282
Minimal-Hopper-Expert-v5,0,10,1,0.2943536
Minimal-Hopper-Expert-v5,0,10,2,0.2927979
Minimal-Hopper-Expert-v5,0,10,3,0.20983282
Minimal-Hopper-Expert-v5,0,11,1,0.28886878
Minimal-Hopper-Expert-v5,0,11,2,0.29156676
Minimal-Hopper-Expert-v5,0,11,3,0.20983282
Minimal-Hopper-Expert-v5,0,12,1,0.28328168
Minimal-Hopper-Expert-v5,0,12,2,0.28932026
Minimal-Hopper-Expert-v5,0,12,3,0.20983282
