Complexity,Loss,Equation
1,0.5702917,"-0.07019916"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.41064027"
5,0.38559124,"(x0 + x4) * 0.33853903"
6,0.3223743,"cos(x10 + -0.49053964) + -0.5912362"
7,0.32042584,"cos(sin(x10 + 1.0296204) + -2.1783738)"
8,0.31644198,"(inv(exp(exp(x10))) * x0) + 0.15668912"
9,0.28731456,"inv(exp(exp(x10))) * (cos(x6) + x0)"
11,0.26671374,"inv(exp(x10) + 0.58828014) * sin(x0 + cos(x6))"
12,0.25495365,"sin(inv(exp(x10) + 0.2618363) * sin(x0 + cos(x6)))"
14,0.24594945,"inv(exp(exp(x10))) * (x0 + (cos(x6) * exp(x10 + x4)))"
15,0.23085253,"sin(((x10 + x0) + (exp(x4) * cos(x6))) * inv(exp(exp(x10))))"
16,0.21899454,"sin((((cos(x6) + sin(x10)) * exp(x4)) + x0) * inv(exp(exp(x10))))"
18,0.21700968,"sin(inv(exp(exp(x10))) * (x0 + (exp(x4) * (sin(x10) + cos(x6))))) * 1.0804185"
19,0.2125643,"sin(sin(((sin(cos(x6) + x10) * exp(x4)) + x0) * inv(exp(exp(x10)))) * 1.4057539)"
20,0.21208194,"sin(sin(((sin(x10 + cos(x6)) * exp(x4)) + x0) * sin(inv(exp(exp(x10))))) * 1.4493202)"
