Complexity,Loss,Equation
1,0.44329613,"0.016053177"
3,0.39840025,"x2 * -0.21248963"
4,0.39224336,"sin(x1) * -0.33919486"
5,0.3694535,"(x1 + x7) * -0.19087242"
6,0.36561227,"(x7 + sin(x1)) * -0.2303676"
7,0.35413262,"((x7 + x2) + x1) * -0.14885601"
8,0.3479051,"((sin(x1) + x7) + x2) * -0.17364445"
9,0.33200184,"(((x6 * x0) + x1) + x7) * -0.18980888"
11,0.32036665,"((x6 * ((x1 * x6) + x2)) + x7) * -0.19197959"
12,0.3108293,"(x7 + (x6 * ((x1 * x6) + sin(x2)))) * -0.23177667"
14,0.3016638,"(((x6 * ((x10 * x3) + sin(x2))) + x7) + x1) * -0.19428599"
19,0.29027158,"((x1 + (x10 * (x1 * -0.6411325))) + ((x6 * ((x10 * x3) + x2)) + x7)) * -0.19428599"
20,0.28583962,"(((x6 * ((x3 * x10) + sin(x2))) + x1) + ((x10 * (x1 * -0.544842)) + x7)) * -0.21538721"
