Complexity,Loss,Equation
1,0.6025167,"0.20513754"
3,0.58945155,"x2 * 0.23491362"
4,0.5448977,"cos(x10) * 0.46169212"
5,0.43154642,"(x6 * x3) * -0.45669463"
6,0.4286797,"sin((x3 * -0.5333179) * x6)"
7,0.41988868,"(x3 * (x6 * -0.54262376)) + -0.13866669"
8,0.38466805,"cos((x3 + x6) + exp(sin(x9)))"
9,0.36888397,"-0.43497905 * ((x3 * x6) + (x0 * x9))"
10,0.36348578,"sin(cos((x3 + x6) + exp(sin(sin(x9)))))"
11,0.35144195,"((x3 * x6) + ((x0 * x9) + -0.30362642)) * -0.43497315"
12,0.35142738,"sin(cos(x3 + (x6 + exp(x9 * sin(cos(x6))))))"
17,0.34295216,"cos((((x3 + (x6 + 1.7273273)) + x5) * 0.5653659) + sin((x10 * 0.5331572) * x9))"
19,0.33325598,"cos((((x3 + 1.8572371) + ((x9 * 0.46425846) + ((x9 * 1.0043672) * sin(x0)))) + x6) * -0.59135354)"
