Complexity,Loss,Equation
1,0.44329613,"0.016050229"
3,0.39840025,"x2 * -0.21248937"
4,0.3922434,"sin(x1) * -0.339238"
5,0.36945352,"(x7 + x1) * -0.190868"
6,0.36561227,"(x7 + sin(x1)) * -0.23037022"
7,0.3541326,"(x2 + (x7 + x1)) * -0.14885786"
8,0.3336434,"-0.15083298 * ((exp(x6) * x1) + x7)"
9,0.33180285,"(x7 + ((x6 * x0) + x1)) * -0.2079758"
10,0.32546106,"(sin(x7) + (x6 * (x6 * x1))) * -0.3094808"
11,0.3208008,"-0.20337231 * ((x6 * (x2 + (x1 * x6))) + x7)"
12,0.31082928,"(((sin(x2) + (x1 * x6)) * x6) + x7) * -0.23177198"
13,0.30994603,"(((sin(inv(x2)) + (x1 * x6)) * x6) + x7) * -0.22079445"
15,0.30592996,"-0.20337231 * ((((x1 * x6) + sin(inv(x2))) * (x6 + 0.28756768)) + x7)"
16,0.30518222,"(((sin(inv(x2)) + (x1 * x6)) * (x6 + 0.28026077)) + x7) * sin(-0.22262895)"
17,0.30404133,"(((sin(inv(x2)) + (x6 * (x1 + 0.16332008))) * (x6 + 0.4521464)) + x7) * -0.20550598"
20,0.2973597,"(x7 + (sin(x8 * x10) + ((0.109522134 + x6) * ((x1 * x6) + sin(inv(x2)))))) * -0.19992879"
22,0.2966674,"((((x6 + 0.23380658) * ((x6 * x1) + sin(inv(x2)))) + x7) + sin(x1 + (x1 + x6))) * -0.20550598"
24,0.2965676,"((x7 + ((x6 + 0.23297757) * (sin(inv(x2)) + (x6 * x1)))) + sin((x1 + x1) + (x6 + 0.081675924))) * -0.2055535"
25,0.29499868,"sin(-0.20550598) * ((((x6 * x1) + sin(inv(x2))) * (x6 + 0.23380658)) + (x7 + sin(x1 + (x6 + (x3 * x1)))))"
26,0.2928769,"((((x6 * x1) + sin(inv(x2))) * (x6 + 0.23380658)) + (x7 + sin((x1 + (x6 + -0.3713215)) + (x3 * x1)))) * -0.20550598"
27,0.29157415,"-0.20550598 * (((x3 + sin(0.5688735 + x6)) * sin(x1)) + (((x6 + 0.23380658) * ((x6 * (0.19657215 + x1)) + sin(inv(x2)))) + x7))"
30,0.29095626,"-0.20550598 * (((sin(x3) + sin(0.5688735 + (0.36829516 + x6))) * sin(x1)) + (((x6 + 0.23380658) * ((x6 * (0.19657215 + x1)) + sin(inv(x2)))) + x7))"
