Complexity,Loss,Equation
1,0.6025167,"0.20515344"
3,0.58945155,"x2 * 0.23491408"
4,0.5448976,"cos(x10) * 0.46167582"
5,0.4315464,"(x6 * -0.45677558) * x3"
6,0.42682424,"x6 * sin(x3 * -0.53042346)"
7,0.39430788,"(x3 + 0.43694666) * (x6 * -0.44270965)"
8,0.3848393,"((x3 + cos(x3)) * -0.33670503) * x6"
9,0.38347033,"sin(((cos(x3) + x3) * x6) * -0.3821677)"
10,0.37040862,"(-0.36347097 * x6) * (x3 + cos(x5 + x3))"
11,0.36733463,"sin(((cos(x5 + x3) + x3) * x6) * -0.4322742)"
12,0.35933065,"((x3 + 0.32367274) * (x6 * -0.56708425)) + (exp(x5) * -0.12635742)"
13,0.3578461,"sin(((x6 * -0.39613086) * (x3 + cos(x3))) + (x5 * -0.21387532))"
14,0.35740745,"sin(((cos(x3) + x3) * -0.41762665) * x6) + (exp(x9) * -0.0687331)"
15,0.3560334,"(sin(exp(x5) * -0.19561139) + 0.12093915) + (((x3 + 0.34648946) * -0.54513556) * x6)"
16,0.34985113,"(sin(((cos(x3) + x3) * -0.44218183) * x6) + (exp(x9) * -0.12815274)) + 0.10931513"
18,0.34051043,"sin(exp(exp(x5) * -0.44871637) + ((((x3 + 1.0502759) * -0.4054404) * (x6 + 0.68090165)) + -0.33099017))"
