Complexity,Loss,Equation
1,0.44329613,"0.016050214"
3,0.39840025,"x2 * -0.21248351"
4,0.3922434,"sin(x1) * -0.33923265"
5,0.3694535,"(x1 + x7) * -0.19086799"
6,0.3693224,"sin((x7 + x2) * -0.19714792)"
7,0.3541326,"((x2 + x1) + x7) * -0.14885783"
11,0.34582207,"((x2 + x1) + x7) * (exp(x6) * sin(-0.07943316))"
12,0.3383744,"sin(0.14964952 * (((x2 * x6) + (x7 + x1)) * -1.0947367))"
13,0.33517066,"(x7 + (x1 + (((-1.5744467 + x2) * x2) * x9))) * -0.1167769"
14,0.322277,"sin(((((x2 * x9) * (x2 + -1.549362)) + x7) + x1) * -0.183808)"
18,0.32204196,"sin((x7 + (x1 + ((x2 * 0.4147843) + ((x3 * x10) * x6)))) * (-1.0947367 * 0.14964952))"
21,0.3217417,"((exp((x8 + x3) * 0.61844724) * x1) + (x7 + (x0 * sin((x9 + 0.44811344) * -2.1893094)))) * -0.21355645"
23,0.31701526,"(x7 + (x1 + (((x10 + -0.3491605) * ((x9 + (x2 + x10)) + -1.1486039)) * ((x2 * x9) * -0.21494114)))) * -0.19490395"
26,0.3166902,"((x2 + (sin((x1 + x9) + (x10 + ((x10 + x0) + -0.6472754))) + x1)) + (x7 + ((x6 * x0) + x7))) * -0.10485602"
27,0.31509215,"(x7 + (x9 * (((x10 + -0.7115175) * x2) + cos((((((x2 * -1.8482165) + 0.79309016) + inv(x6)) + x10) * 0.25284106) + x10)))) * -0.21059091"
