Complexity,Loss,Equation
1,0.6025167,"0.20517981"
3,0.5894516,"x2 * 0.23484969"
4,0.5448976,"cos(x10) * 0.4616758"
5,0.4315464,"x6 * (x3 * -0.45677286)"
6,0.42682424,"x6 * sin(x3 * -0.5304168)"
7,0.39430785,"(x6 * (x3 + 0.4366687)) * -0.44272888"
8,0.38483933,"(x3 + cos(x3)) * (x6 * -0.33674386)"
9,0.36852083,"((x9 * x0) + (x3 * x6)) * -0.451347"
11,0.35144192,"(((x3 * x6) + (x9 * x0)) * -0.43497396) + 0.13206987"
12,0.34815386,"sin((((x3 * x6) + (x9 * x0)) * -0.50365347) + 0.16280845)"
13,0.34738347,"sin((x3 + (((x3 + 1.392067) * x6) + sin(x5))) * -0.36875364)"
14,0.34476978,"((((x3 + 0.9997195) * x6) + sin(x5)) + (x3 * 0.6137601)) * -0.37088498"
15,0.34356987,"sin(((((x3 + 1.0567182) * x6) + (x3 * 0.62386185)) + sin(x5)) * -0.42272484)"
17,0.3378391,"(sin(((x3 + x6) * cos(x5)) + x5) + ((0.41815308 + x3) * x6)) * -0.37634376"
18,0.3367134,"(sin((cos(x5) * (x3 + sin(x6))) + x5) + ((0.51073796 + x3) * x6)) * -0.37634376"
20,0.3330753,"(sin((cos(x5) * (x3 + sin(-0.43122834 + x6))) + x5) + ((0.51073796 + x3) * x6)) * -0.37634376"
